price,bathrooms,bedrooms,distanceToCoast,LivingArea,longitude,latitude
1628500,3,5,12.7,2364,-117.7034,33.557274
1628000,3,4,0,1503,-122.44075,37.730976
1626000,2,3,17.6,1530,-122.26277,37.544525
1625000,3,5,6.7,2308,-119.85233,34.445606
1625000,2,2,10.9,1111,-117.27142,32.816265
1625000,2,3,0,1632,-118.371895,34.118
1625000,,,22.6,3036,-122.21579,37.480427
1625000,3,3,0.1,2384,-117.07249,33.036526
1625000,4,10,0,3807,-122.450294,37.765984
1620000,2,4,28.7,1556,-121.97212,37.526318
1620000,1,3,0,1568,-122.45937,37.726204
1620000,1,2,0,1309,-122.43798,37.761105
1620000,2,3,26.2,1448,-121.95589,37.359127
1615000,2,2,6.8,1334,-121.90847,36.9739
1615000,2,3,0,1309,-118.39061,33.96962
1615000,2,3,0,1548,-118.43932,34.01265
1615000,2,3,0,1637,-122.41971,37.756775
1615000,3,4,16.4,1604,-122.299904,37.561325
1615000,2,3,1,1408,-119.79565,34.449852
1615000,4,5,1,2200,-119.70084,34.41566
1611500,4,5,22.9,3085,-118.65689,34.207184
1610000,4,5,15.2,3000,-117.72359,33.859516
1610000,3,4,6.9,2760,-122.48544,37.70697
1610000,3,4,15.5,2400,-118.372055,33.864967
1610000,3,4,15.5,2133,-118.37631,33.878723
1610000,1,2,0,1640,-122.49446,37.730476
1610000,1,2,0,1791,-122.44806,37.76577
1610000,2,3,0,1425,-122.48597,37.746967
1610000,3,2,3.5,1564,-117.272194,32.981216
1608750,4,4,14.8,3184,-122.196175,37.886677
1605000,4,6,16.4,2798,-118.50247,34.13761
1605000,2,3,28.7,1445,-122.027504,37.554523
1605000,2,3,28.7,1399,-121.99894,37.561604
1605000,3,5,6.2,3296,-118.12925,34.050385
1601000,3,3,0.1,1970,-117.13383,32.949203
1600101,3,3,0.1,2000,-117.21772,32.94236
1600000,4,5,15.2,2888,-117.9511,33.82422
1600000,6,14,15.2,5609,-117.9147,33.840736
1600000,3,4,15.2,2820,-117.76053,33.853256
1600000,3,3,6.8,2089,-121.89452,36.966232
1600000,2,3,6.8,1915,-121.87058,36.952393
1600000,3,4,9.1,1868,-117.31067,33.096867
1600000,3,5,24.5,3225,-117.79296,34.00068
1600000,2,3,0,1633,-117.26382,33.042034
1600000,3,4,28.7,2066,-122.0129,37.544926
1600000,2,3,28.7,1538,-121.97922,37.540684
1600000,4,4,25,2819,-121.60492,36.998898
1600000,2,3,19.8,2346,-122.056335,37.62552
1600000,3,2,15.6,1199,-118.39728,33.860554
1600000,3,4,10.9,2201,-117.23483,32.820568
1600000,2,2,10.9,1493,-117.276566,32.846115
1600000,2,4,16,2229,-118.07293,33.77975
1600000,3,3,0,2180,-118.399376,33.977592
1600000,3,4,28.9,2772,-117.5313,33.933228
1600000,2,2,33.9,1083,-117.69324,34.057064
1600000,3,5,14.8,3650,-122.17593,37.877647
1600000,2,2,21.4,1500,-118.37366,33.768658
1600000,3,3,15.5,2039,-118.377304,33.841606
1600000,3,4,0.1,1900,-117.095245,32.902847
1600000,2,3,0,1707,-122.47808,37.741776
1600000,2,3,0,1278,-122.44715,37.734787
1600000,2.5,3,0,2000,-122.46425,37.729935
1600000,3,3,0,1488,-122.40804,37.746674
1600000,2,3,0,1435,-122.451866,37.743008
1600000,2,3,0,1479,-122.45256,37.766155
1600000,2,3,0,1505,-122.42073,37.74127
1600000,4,3,0,2062,-122.4743,37.714695
1600000,3,4,8.5,1057,-118.11473,34.106506
1600000,3,4,8.5,2438,-118.095634,34.113743
1600000,2,3,16.4,1370,-122.30074,37.564835
1600000,1,2,16.4,1180,-122.31075,37.562057
1600000,2,4,1,1904,-119.80037,34.43989
1600000,1,2,1,950,-119.721535,34.41729
1600000,2,4,26.2,1457,-121.94333,37.39331
1600000,1,3,26.2,1075,-121.95205,37.3383
1600000,5,9,26.2,3689,-121.956985,37.361526
1600000,1,3,26.2,1440,-121.94025,37.34338
1600000,4,5,13,2300,-118.46734,33.99851
1600000,1,3,13,1076,-118.465096,33.981384
1600000,4,4,27.4,#N/A,-119.2645,34.261154
1600000,2,4,19.4,2380,-117.767746,33.894054
1599000,1,3,15.5,1115,-118.3781,33.82136
1599000,2,2,14.5,1431,-118.10782,33.74636
1598000,4,4,28.7,2105,-121.95331,37.53713
1596000,3,5,0.1,2909,-117.06549,33.050804
1595000,3,3,19.8,2374,-118.17832,33.836178
1595000,3,5,16,2750,-118.06676,33.811707
1595000,3,3,1,1561,-119.80348,34.437637
1595000,3,2,24.7,2110,-118.35999,34.093475
1590000,3,4,6.8,1829,-121.90069,36.980515
1590000,2,3,16,1767,-118.074066,33.795647
1585000,3,4,15.2,2407,-117.82043,33.840416
1585000,2,3,15.5,1900,-118.38738,33.871216
1582000,3,4,17.6,1760,-122.25242,37.565094
1580000,3,3,0,1931,-118.42585,33.958076
1580000,3,3,26.9,1341,-121.91397,36.611664
1580000,2,4,21.4,2016,-118.40116,33.773197
1580000,1,2,0,1300,-122.44827,37.73846
1580000,1,2,26.2,1152,-121.95832,37.350155
1579500,2,3,10.5,1580,-122.43508,37.61737
1578000,2,3,0,1485,-122.490776,37.739964
1575000,2,3,22.9,1860,-118.637184,34.20664
1575000,3,3,9.1,1675,-117.30963,33.108994
1575000,2,3,17.6,1530,-122.26235,37.5478
1575000,2,3,28.7,1200,-121.991875,37.53155
1575000,3,2,10.9,2174,-117.244896,32.882744
1575000,3,3,25.3,2303,-121.91255,36.619015
1575000,2,3,10.5,1296,-122.4205,37.62377
1575000,3,4,0.1,2195,-117.079506,32.914165
1575000,3,5,0.1,2614,-117.11615,32.940884
1575000,1,2,13,790,-118.46767,33.99778
1570000,3,3,8.2,1875,-118.245964,34.131035
1570000,2,3,19.8,1479,-118.12631,33.75852
1570000,2,4,16,2412,-118.083664,33.79204
1570000,3,3,15.5,2233,-118.37789,33.86589
1570000,2,3,16.4,1342,-122.30724,37.568058
1570000,4,8,27.4,#N/A,-119.27115,34.279236
1569200,2,3,8.5,1782,-118.10231,34.10942
1568500,3,3,19.8,2299,-118.1084,33.775047
1568000,4,4,0,2700,-122.46411,37.71342
1565000,3,4,18.3,2412,-117.94388,33.893143
1565000,2,2,0,1182,-118.440674,34.00098
1565000,2,3,22.6,1375,-122.23891,37.49486
1565000,1,3,22.6,1320,-122.23285,37.47746
1560000,6,5,78.2,5112,-119.119865,35.34142
1560000,4,5,14.8,3449,-117.05424,33.008106
1560000,4,3,16.4,1520,-122.31772,37.569878
1555000,2,4,28.7,1556,-121.97045,37.528564
1555000,3,5,6.7,2347,-119.858604,34.435925
1555000,3,4,16,2750,-118.06616,33.81303
1555000,3,2,14.8,2060,-122.18264,37.88557
1555000,1,3,0,1451,-122.48851,37.76209
1554000,5,6,0.3,3160,-122.030205,36.974785
1551000,3,4,28.7,1933,-122.06234,37.556625
1550000,3,3,23.7,1487,-122.02658,37.33736
1550000,3,3,28.7,2058,-121.93282,37.524403
1550000,3,4,23.4,2012,-121.670006,37.146534
1550000,3,3,15.5,2045,-118.36771,33.87728
1550000,3,3,15.5,2070,-118.37627,33.84235
1550000,4,3,0.1,2191,-117.18233,32.960464
1550000,1,3,0,1339,-122.44968,37.762924
1550000,2,2,0,1426,-122.45929,37.72563
1550000,1,2,0,1050,-122.49241,37.74771
